Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
18.75644,84.422423,PALASA,PSA,KUR,ANDHRA PRADESH,A
18.408939,83.903818,SRIKAKULAM ROAD,CHE,WAT,ANDHRA PRADESH,A
18.1066576,83.3955506,VIZIANAGARAM,VZM,WAT,ANDHRA PRADESH,A
17.694711,83.008556,ANAKAPALLE                                        ,AKP ,BZA       ,ANDHRA PRADESH,A
14.6864093,77.5952527,ANANTAPUR                                        ,ATP ,GTL,ANDHRA PRADESH,A
16.5475412,81.5190117,BHIMAVARAM TOWN                                   ,BVRT,BZA       ,ANDHRA PRADESH,A
15.8313436,80.3543806,CHIRALA                                           ,CLX ,BZA       ,ANDHRA PRADESH,A
14.4516596,78.8292391,CUDDAPAH                                          ,HX  ,GTL,ANDHRA PRADESH,A
16.718058,81.119576,ELURU                                             ,EE  ,BZA       ,ANDHRA PRADESH,A
14.1486494,79.8456227,GUDUR JN.                                         ,GDR ,BZA       ,ANDHRA PRADESH,A
15.1755264,77.3667171,GUNTAKAL JN.                                      ,GTL ,GTL,ANDHRA PRADESH,A
16.3005246,80.4427366,GUNTUR JN.                                        ,GNT ,GNT       ,ANDHRA PRADESH,A
16.9674599,82.2333718,KAKINADA TOWN                                     ,CCT ,BZA       ,ANDHRA PRADESH,A
17.9747022,79.5111795,KAZIPET JN.                                       ,KZJ ,SC        ,ANDHRA PRADESH,A
17.2487263,80.1391447,KHAMMAM,KMT,SC        ,ANDHRA PRADESH,A
15.8324664,78.0324683,KURNOOL TOWN                                      ,KRNT,HYB       ,ANDHRA PRADESH,A
17.6904098,83.1943724,MANCHIRYAL                                        ,MCI ,SC        ,ANDHRA PRADESH,A
14.4425987,79.986456,NELLORE                                           ,NLR ,BZA       ,ANDHRA PRADESH,A
18.6787573,78.1035955,NIZAMABAD                                         ,NZB ,HYB       ,ANDHRA PRADESH,A
15.4975651,80.0570646,ONGOLE                                            ,OGL ,BZA       ,ANDHRA PRADESH,A
16.9842754,81.7838571,RAJAHMUNDRY                                       ,RJY ,BZA       ,ANDHRA PRADESH,A
13.6366028,79.5065922,RENIGUNTA                                         ,RU  ,GTL,ANDHRA PRADESH,A
17.0453224,82.1691189,SAMALKOT JN.                                      ,SLO ,BZA       ,ANDHRA PRADESH,A
16.8102053,81.5266148,TADEPALLIGUDEM                                    ,TDD ,BZA       ,ANDHRA PRADESH,A
16.242093,80.64063,TENALI JN.                                        ,TEL ,BZA       ,ANDHRA PRADESH,A
17.355267,82.5429325,TUNI                                              ,TUNI,BZA       ,ANDHRA PRADESH,A
17.973252,79.605708,WARANGAL                                          ,WL  ,SC        ,ANDHRA PRADESH,A
14.1609808,77.7588363,SSP NILAYAM,SSPN,SBC,ANDHRA PRADESH,A
26.5020363,90.9647221,BARPETA ROAD ,BPRD,RNY,ASSAM,A
26.4694794,90.5606457,BONGAIGAON ,BNGN,RNY,ASSAM,A
27.4643753,94.9365535,DIBRUGARH TOWN,DBRT,TSK,ASSAM,A
26.750139,94.2162827,JORHAT TOWN,JTTN,TSK,ASSAM,A
