Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
18.3327335,82.8652474,ARAKU,ARK,WAT,ANDHRA PRADESH,B
18.57634,83.3459156,BOBBILI,VBL,WAT,ANDHRA PRADESH,B
18.2752176,83.0400198,BORRAGUHALU,BGHU,WAT,ANDHRA PRADESH,B
17.7030756,83.1509966,DUVVADA,DVD,WAT,ANDHRA PRADESH,B
19.1113809,84.6806273,ICHCHHAPURAM,IPM,KUR,ANDHRA PRADESH,B
17.7452495,83.2207651,SIMHACHALAM,SCM,WAT,ANDHRA PRADESH,B
18.9813646,84.5815034,SOMPETA,SPT,KUR,ANDHRA PRADESH,B
19.6806051,78.53624,ADILABAD                                          ,ADB ,NED,ANDHRA PRADESH,B
15.6175995,77.2746882,ADONI                                             ,AD  ,GTL,ANDHRA PRADESH,B
17.2776746,82.4007654,ANNAVARAM                                         ,ANV ,BZA       ,ANDHRA PRADESH,B
15.9084111,80.4684969,BAPATLA                                           ,BPP ,BZA       ,ANDHRA PRADESH,B
15.9128998,79.7399875,BASAR                                             ,BSX ,HYB       ,ANDHRA PRADESH,B
17.4386161,78.4583102,BEGUMPET                                      ,BMT ,SC        ,ANDHRA PRADESH,B
17.5513181,80.6144184,BHADRACHALAM ROAD                                 ,BDCR,SC        ,ANDHRA PRADESH,B
16.5445881,81.537373,BHIMAVARAM JN.                                    ,BVRM,BZA       ,ANDHRA PRADESH,B
13.2189652,79.1033482,CHITTOOR                                          ,CTO ,GTL,ANDHRA PRADESH,B
14.4247555,77.7176658,DHARMAVARAM                                       ,DMM ,GTL,ANDHRA PRADESH,B
15.3952829,77.8680416,DHONE,DHNE,GTL,ANDHRA PRADESH,B
15.1496783,77.6260475,GOOTY JN.                                         ,GY  ,GTL,ANDHRA PRADESH,B
16.4305131,80.988339,GUDIVADA JN.                                      ,GDV ,BZA       ,ANDHRA PRADESH,B
16.9538599,82.2405709,KAKINADA PORT                                     ,COA ,BZA       ,ANDHRA PRADESH,B
14.4471379,79.9783065,KAMAREDDI                                         ,KMC ,HYB       ,ANDHRA PRADESH,B
14.9157489,79.9885798,KAVALI                                            ,KVZ ,BZA       ,ANDHRA PRADESH,B
17.4829865,78.3168725,LINGAMPALLI                                       ,LPI ,SC        ,ANDHRA PRADESH,B
16.1718236,81.1382282,MACHILIPATNAM                                     ,MTM ,BZA       ,ANDHRA PRADESH,B
