Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
18.3166833,83.5701319,CHIPURUPALLE,CPP,WAT,ANDHRA PRADESH,D
16.709965,81.110238,KOTABOMMALI,KBM,WAT,ANDHRA PRADESH,D
17.8916901,83.1859179,KOTTAVALASA,KTV,WAT,ANDHRA PRADESH,D
18.579191,84.283289,NAUPADA,NWP,WAT,ANDHRA PRADESH,D
18.7711547,83.4278664,PARVATIPURAM,PVP,WAT,ANDHRA PRADESH,D
18.7839941,83.4337553,PARVATIPURAM TOWN,PVPT,WAT,ANDHRA PRADESH,D
15.9128998,79.7399875,PONDURU,PDU,WAT,ANDHRA PRADESH,D
15.9128998,79.7399875,TILARU,TIU,WAT,ANDHRA PRADESH,D
16.582839,81.3691064,AKIVIDU                                           ,AKVD,BZA       ,ANDHRA PRADESH,D
17.6401613,79.0362544,ALER                                              ,ALER,SC        ,ANDHRA PRADESH,D
16.9364954,81.9540892,ANAPARTI                                          ,APT ,BZA       ,ANDHRA PRADESH,D
19.0525339,79.4858121,BELLAMPALLI                                       ,BPA ,SC        ,ANDHRA PRADESH,D
17.524496,78.898625,BHONGIR                                           ,BG  ,SC        ,ANDHRA PRADESH,D
17.5333344,78.5152635,BOLARAM                                           ,BMO ,HYB       ,ANDHRA PRADESH,D
17.7246309,83.3095718,CUMBUM                                            ,CBM ,GNT       ,ANDHRA PRADESH,D
15.8338716,79.484553,DONAKONDA                                         ,DKD ,GNT       ,ANDHRA PRADESH,D
15.9128998,79.7399875,DORNAKAL,DKJ,SC,ANDHRA PRADESH,D
16.9277261,81.9207911,DWARAPUDI                                         ,DWP ,BZA       ,ANDHRA PRADESH,D
17.5535456,82.8528781,ELAMANCHILI                                       ,YLM ,BZA       ,ANDHRA PRADESH,D
18.3097243,83.8981331,GADWAL,GWD,HYB       ,ANDHRA PRADESH,D
16.5186249,80.6198977,GHANPUR,GNP ,SC        ,ANDHRA PRADESH,D
15.3794541,78.9262904,GIDDALUR                                          ,GID ,GNT       ,ANDHRA PRADESH,D
17.00711,81.7713153,GODAVARI                                          ,GVN ,BZA       ,ANDHRA PRADESH,D
15.1781809,77.1034241,JADCHERLA                                         ,JCL ,HYB       ,ANDHRA PRADESH,D
18.2899984,79.4767551,JAMIKUNTA                     ,JMKT,SC        ,ANDHRA PRADESH,D
14.6864462,77.5838265,JANGAON                                           ,ZN  ,SC        ,ANDHRA PRADESH,D
14.1146233,78.1654912,KADIRI                                            ,KRY ,GTL,ANDHRA PRADESH,D
16.5507627,81.2179747,KAIKALUR                                          ,KKLR,BZA       ,ANDHRA PRADESH,D
17.7222014,83.2892612,KESAMUDRAM                                        ,KDM ,SC        ,ANDHRA PRADESH,D
13.956904,79.350563,KODURU                                            ,KOU ,GTL,ANDHRA PRADESH,D
17.0069821,81.7267095,KOVVUR                                            ,KVR ,BZA       ,ANDHRA PRADESH,D
16.477002,80.60567,KRISHNA                                           ,KSN ,GTL,ANDHRA PRADESH,D
16.469684,79.43841,MACHERLA                                          ,MCLA,GNT       ,ANDHRA PRADESH,D
15.3283968,78.223287,MADHIRA                                           ,MDR ,SC        ,ANDHRA PRADESH,D
17.368903,78.480133,MALKAJGIRI                                        ,MJF ,HYB       ,ANDHRA PRADESH,D
16.437717,80.564576,MANGALAGIRI                                       ,MAG ,GNT       ,ANDHRA PRADESH,D
17.8984382,80.8118236,MANUGURU                                          ,MUGR,SC        ,ANDHRA PRADESH,D
15.7149089,79.3029798,MARKAPUR ROAD                                     ,MRK ,GNT       ,ANDHRA PRADESH,D
16.8604225,79.5334501,MIRYALAGUDA                                       ,MRGA,GNT       ,ANDHRA PRADESH,D
16.9538599,82.2405709,MOULA ALI                                         ,MLY ,SC        ,ANDHRA PRADESH,D
14.689044,78.397378,MUDDANURU                                         ,MOO ,GTL,ANDHRA PRADESH,D
16.5901536,79.7231483,NADIKUDI,NDKD,GNT       ,ANDHRA PRADESH,D
16.2296948,80.0399427,NARASARAO PET                                     ,NRT ,GNT       ,ANDHRA PRADESH,D
17.451852,82.724168,NARSIPATNAM ROAD                                  ,NRP ,BZA       ,ANDHRA PRADESH,D
17.4341868,78.4870208,NEKONDA                                           ,NKD ,SC        ,ANDHRA PRADESH,D
16.0680409,80.5574732,NIDUBROLU                                         ,NDO ,BZA       ,ANDHRA PRADESH,D
13.4509955,79.1145735,PAKALA,PAK,GTL,ANDHRA PRADESH,D
16.2521635,81.1438233,PEDANA                                            ,PAV ,BZA       ,ANDHRA PRADESH,D
15.9128998,79.7399875,PEDDAPALLI                                        ,PDPL,SC        ,ANDHRA PRADESH,D
16.4803383,79.8908876,PIDUGURALLA                                       ,PGRL,GNT       ,ANDHRA PRADESH,D
15.8365459,78.0600178,PITHAPURAM                                        ,PAP ,BZA       ,ANDHRA PRADESH,D
16.7131661,81.1065689,POWERPET                                       ,PRH ,BZA       ,ANDHRA PRADESH,D
14.185251,79.1529242,RAJAMPET                                          ,RJP ,GTL,ANDHRA PRADESH,D
16.0181982,80.8288786,REPALLE                                           ,RAL ,GNT       ,ANDHRA PRADESH,D
16.4936139,80.6837835,SANATNAGAR                                        ,SNF ,SC        ,ANDHRA PRADESH,D
16.2427544,80.0507072,SATTENAPALLE                                      ,SAP ,GNT       ,ANDHRA PRADESH,D
17.0648384,78.2130239,SHADNAGAR                                         ,SHNR,HYB       ,ANDHRA PRADESH,D
17.4504957,78.1307044,SHANKARPALLI                                      ,SKP ,SC        ,ANDHRA PRADESH,D
14.9085777,77.9774219,TADIPATRI                                         ,TU  ,GTL,ANDHRA PRADESH,D
16.9538599,82.2405709,UMDANAGAR                                         ,UR  ,HYB       ,ANDHRA PRADESH,D
14.4053807,79.9575198,VEDAYAPALEM                                       ,VDE ,BZA       ,ANDHRA PRADESH,D
13.9440402,79.6042515,VENKATAGIRI                                       ,VKI ,GTL,ANDHRA PRADESH,D
16.0506225,79.7478396,VINUKONDA                                         ,VKN ,GNT       ,ANDHRA PRADESH,D
16.5421411,81.6327485,VIRAVASARAM                                       ,VVM ,BZA       ,ANDHRA PRADESH,D
15.9128998,79.7399875,WANPARTHI ROAD                                    ,WPR ,HYB       ,ANDHRA PRADESH,D
22.5779521,88.368099,ZAHIRABAD                                         ,ZB  ,SC        ,ANDHRA PRADESH,D
10.1080314,76.3571198,EKAMBARAKUPPAM(FLAG)               ,EKM  ,MAS,ANDHRA PRADESH,D
13.9080253,79.9015157,NAYUDUPETA                         ,NYP  ,MAS,ANDHRA PRADESH,D
13.4399417,79.5529832,PUTTUR                             ,PUT  ,MAS,ANDHRA PRADESH,D
13.6965942,80.0181894,SULLURUPETA                        ,SPE  ,MAS,ANDHRA PRADESH,D
12.7473075,78.3399271,KUPPAM,KPN ,SBC,ANDHRA PRADESH,D
14.1000902,77.5930592,PENUKONDA,PKD,SBC,ANDHRA PRADESH,D
27.1548848,95.2790097,BADARPUR  ,BPB,LMG,ASSAM,D
27.0635627,95.0322712,BHOJO,BOJ,TSK,ASSAM,D
26.0771211,89.9558971,BIJNI ,BJF,RNY,ASSAM,D
26.0193917,93.7801602,BOKAJAN,BXJ,LMG,ASSAM,D
26.2029068,92.5123086,CHAPARMUKH,CPK,LMG,ASSAM,D
26.0229838,89.9777459,DHUBRI,DBB,APDJ,ASSAM,D
26.2006043,92.9375739,DIGARU,DGU,LMG,ASSAM,D
27.3831252,95.617294,DIGBOI,DBY,TSK,ASSAM,D
27.366665,95.3067075,DULIAJAN,DJG,TSK,ASSAM,D
26.3648565,90.1862323,FAKIRAGRAM,FKM,APDJ,ASSAM,D
26.4644623,94.0018721,FURKATING,FKG,TSK,ASSAM,D
26.1269824,90.6209931,GOALPARA TOWN ,GLPT,RNY,ASSAM,D
26.2006043,92.9375739,GOLAGHAT,GLGT,TSK,ASSAM,D
26.4295301,89.975367,GOSAIGAONHAT,GOGH,APDJ,ASSAM,D
24.6919663,92.5436667,HAILAKANDI,HKD,LMG,ASSAM,D
26.125383,92.197507,JAGIROAD,JID,LMG,ASSAM,D
26.2006043,92.9375739,KAMPUR,KWM,LMG,ASSAM,D
24.8602756,92.3727013,KARIMGANJ,KXJ,LMG,ASSAM,D
25.9147986,92.958095,LANKA,LKA,LMG,ASSAM,D
27.2911769,95.7384619,LEDO,LLO,TSK,ASSAM,D
26.2006043,92.9375739,LOWER HALFLONG,LFG,LMG,ASSAM,D
27.486663,95.440088,MAKUM JN,MJN,TSK,ASSAM,D
26.8403568,80.9362082,MARGHERITA,MRG,TSK,ASSAM,D
27.182971,94.9191755,MORANHAT,MRHT,TSK,ASSAM,D
26.2006043,92.9375739,NAHARKATIA,NHK,TSK,ASSAM,D
26.451002,91.439099,NALBARI ,NLV,RNY,ASSAM,D
26.1119503,92.8604911,NAMRUP,NAM,TSK,ASSAM,D
26.8108039,92.577544,NEW MISAMARI ,NMM,RNY,ASSAM,D
27.2542022,94.1108599,NORTH LAKHIMPUR ,NLP,RNY,ASSAM,D
26.4971846,91.1776071,PATHSALA ,PBL,RNY,ASSAM,D
26.8213925,92.6825556,RANGAPARA NORTH,RPAN,RNY,ASSAM,D
26.2006043,92.9375739,SARUPATHAR,SZR,LMG,ASSAM,D
26.9175626,94.7558888,SIMALUGURI,SLGR,TSK,ASSAM,D
26.9902027,94.6431785,SIVASAGAR TOWN,SRTN,TSK,ASSAM,D
26.4716739,91.2678145,TIHU,TIHU,RNY,ASSAM,D
26.6018053,94.199624,TITABAR,TTB,TSK,ASSAM,D
25.5820574,85.9000585,BACHWARA JN.,BCA,SEE,BIHAR,D
25.8851279,87.1930692,BANMANKHI JN.,BNKI,SPJ,BIHAR,D
25.2825224,86.0156677,BARAHIYA,BRYA,DNR,BIHAR,D
25.558777,84.448724,BIHIYA,BEA,DNR,BIHAR,D
25.561028,84.872358,BIHTA,BTA,DNR,BIHAR,D
25.6215315,85.0686191,CHANPATIYA,CAI,SPJ,BIHAR,D
25.9086543,86.7829725,DAURAM MADHEPURA,DMH,SPJ,BIHAR,D
25.6678707,85.4083049,DESARI,DES,SEE,BIHAR,D
25.9761658,85.5649596,DHOLI,DOL,SEE,BIHAR,D
28.6829169,77.2201189,DIGHWARA,DGA,SEE,BIHAR,D
25.0960742,85.3131194,EKANGARSARAI,EKR,DNR,BIHAR,D
25.5031686,85.3039681,FATUHA JN.,FUT,DNR,BIHAR,D
26.3327808,84.6672273,GIDHAUR,GHR,DNR,BIHAR,D
25.2415233,86.9725178,GORAUL,GRL,SEE,BIHAR,D
25.5978757,85.204567,GULZARBAGH,GZH,DNR,BIHAR,D
24.8110079,84.7913007,GURARU,GRRU,MGS,BIHAR,D
25.8660377,86.2556519,HARI NAGAR,HIR,SPJ,BIHAR,D
25.3717551,85.5405538,HARNAUT,HRT,DNR,BIHAR,D
25.714848,86.185886,HASANPUR ROAD,HPO,SPJ,BIHAR,D
26.0208051,85.8787514,HAYAGHAT,HYT,SPJ,BIHAR,D
25.1373713,85.2170187,ISLAMPUR,IPR,DNR,BIHAR,D
26.4689482,85.7009127,JANAKPUR ROAD,JNR,SPJ,BIHAR,D
25.2243717,84.9900697,JEHANABAD,JHD,DNR,BIHAR,D
25.0960742,85.3131194,JEHANABAD COURT,JHDC,DNR,BIHAR,D
25.7024116,85.2155648,JHANJHARPUR JN.,JJP,SPJ,BIHAR,D
25.497727,87.375833,KARHAGOLA ROAD,CRR,SEE,BIHAR,D
26.4840923,86.1615335,KHAJAULI,KJI,SPJ,BIHAR,D
25.9063621,85.6720906,KHUDIRAMBOSE PUSA,KRBP,SEE,BIHAR,D
25.4853713,85.3875656,KHUSRO PUR,KOO,DNR,BIHAR,D
25.0960742,85.3131194,KUDRA,KTQ,MGS,BIHAR,D
25.0960742,85.3131194,KURSELA,KUE,SEE,BIHAR,D
19.176642,72.8577319,LAHERIASARAI,LSI,SPJ,BIHAR,D
25.4165256,86.2056816,LAKHO,LAK,SEE,BIHAR,D
26.356435,87.0122954,LALITGRAM,LLP,SPJ,BIHAR,D
25.4609338,86.6418215,MAHESHKHUT,MSK,SEE,BIHAR,D
25.654133,85.5036052,MAHNAR ROAD,MNO,SEE,BIHAR,D
25.8843963,87.4393397,MANANPUR,MNP,DNR,BIHAR,D
26.354858,85.0963104,MEHASI,MAI,SPJ,BIHAR,D
22.5437293,88.3571389,MOHIUDDINNANGAR,MOG,SEE,BIHAR,D
26.2571899,85.1689072,MOTIPUR,MTR,SPJ,BIHAR,D
24.8869391,85.5487449,NAWADAH,NWD,DNR,BIHAR,D
26.3058227,86.5753118,NIRMALI JN.,NMA,SPJ,BIHAR,D
24.6242275,85.2065051,PAHARPUR,PRP,DHN,BIHAR,D
24.8174737,84.6341923,RAFIGANJ,RFJ,MGS,BIHAR,D
25.613851,85.1918149,RAGHOPUR,RGV,SPJ,BIHAR,D
25.3337282,84.5167494,RAGHUNATHPUR,RPR,DNR,BIHAR,D
26.4007106,86.1532368,RAJNAGAR,RJA,SPJ,BIHAR,D
25.0960742,85.3131194,RAMGARHAWA,RGH,SPJ,BIHAR,D
25.746344,86.0339451,RUSERAGHAT,ROA,SPJ,BIHAR,D
25.6391774,85.5814024,SAHPUR PATORI,SPP,SEE,BIHAR,D
25.6033837,86.2600527,SALAUNA,SLNA,SPJ,BIHAR,D
26.345466,86.071039,SEMAPUR,SMO,SEE,BIHAR,D
25.131921,85.852517,SHEIKHPURA,SHK,DNR,BIHAR,D
25.6033028,85.137137,SIMRIBAKHTIYARPUR,SBV,SPJ,BIHAR,D
24.8827373,84.2301456,SONNAGAR JN.,SEB,MGS,BIHAR,D
26.117508,86.6030198,SUPAUL,SOU,SPJ,BIHAR,D
24.6242275,85.2065051,TAREGANA,TEA,DNR,BIHAR,D
25.3933828,86.935528,THANABIHPUR,THB,SEE,BIHAR,D
25.0165394,85.6428285,WARSALIGANJ,WRS,DNR,BIHAR,D
25.2156333,86.3223454,ABHAIPUR,AHA,MLDT,BIHAR,D
26.3472918,86.0740413,BARIARPUR,BUP,MLDT,BIHAR,D
24.8032413,84.9997072,GHOGHA,GGA,MLDT,BIHAR,D
25.3148743,86.4928768,KAJRA,KJH,MLDT,BIHAR,D
25.2373828,87.267299,PIRPINTI,PPT,MLDT,BIHAR,D
25.2156333,86.3223454,SHIVNARAYAN PUR,SVRP,MLDT,BIHAR,D
25.2030829,85.5394075,SIMULTALA,STL,ASN,BIHAR,D
25.785905,84.7458351,CHAPRA KACHERI,CI ,VARANASI,BIHAR,D
25.2030829,85.5394075,EKMA,EM,VARANASI,BIHAR,D
25.0960742,85.3131194,HATHUA,HTW,VARANASI,BIHAR,D
26.4389333,84.3940476,THAWE JN.,THE,VARANASI,BIHAR,D
26.1146569,87.4474695,ARARIYA,ARR,KIR,BIHAR,D
25.5560894,87.8524572,AZAMNAGAR,AZR,KIR,BIHAR,D
25.4398636,87.7443748,LABHA,LAV,KIR,BIHAR,D
25.6156489,87.8373237,SALMARI,SRI,KIR,BIHAR,D
24.6287046,84.2867355,SONAILI,SI,KIR,BIHAR,D
25.1129853,84.9849909,TELTA,TETA,KIR,BIHAR,D
26.4313468,88.127461,THAKURGANJ,TKG,KIR,BIHAR,D
21.0459871,82.3840126,BAGBAHRA,BGBR,SBP,CHHATTISGARH,D
21.113259,82.103985,MAHASAMUND,MSMD,SBP,CHHATTISGARH,D
23.316757,82.529159,BAIKUNTHPUR RD,BRH,BSP,CHHATTISGARH,D
21.2786567,81.8661442,BALOD,BXA,R,CHHATTISGARH,D
22.0118351,82.8137337,BARADUAR,BUA,BSP,CHHATTISGARH,D
21.9616217,82.0769724,BELHA,BYL,R,CHHATTISGARH,D
21.2080656,81.3754392,BHILAI,BIA,R,CHHATTISGARH,D
23.1789217,82.9827082,BISHRAMPUR,BSPR,BSP,CHHATTISGARH,D
21.252539,81.629561,CHIRIMIRI,CHRM,BSP,CHHATTISGARH,D
20.5879119,81.06848,DALLIRAJHARA,DRZ,R,CHHATTISGARH,D
20.7151256,81.5507654,DHAMTARI,DTR,R,CHHATTISGARH,D
22.3493045,82.6461284,GEVRA ROAD,GAD,BSP,CHHATTISGARH,D
21.2786567,81.8661442,GUNDERDEHI,GDZ,R,CHHATTISGARH,D
21.6319356,81.8460861,HATHBANDH,HN,R,CHHATTISGARH,D
22.0341655,82.2971705,JAIRAMNAGAR,JRMG,BSP,CHHATTISGARH,D
22.297614,82.026252,KARGI ROAD,KGB,BSP,CHHATTISGARH,D
21.3693036,83.0734661,KHARSIA,KHS,BSP,CHHATTISGARH,D
21.27,81.52,KUMHARI,KMI,R,CHHATTISGARH,D
23.2197309,82.1974214,MANENDRAGARH,MDGR,BSP,CHHATTISGARH,D
22.0231837,82.5652323,NAILA,NIA,BSP,CHHATTISGARH,D
20.969855,81.868552,RAJIM JN.,RIM,R,CHHATTISGARH,D
22.01179,82.955679,SAKTI,SKT,BSP,CHHATTISGARH,D
21.1998984,81.2915203,USALPUR,USL,BSP,CHHATTISGARH,D
28.7451875,77.1372725,BADLI,BHD,DLI,DELHI,D
28.5369022,77.0512086,BIJWASAN,BWSN,DLI,DELHI,D
28.6671595,77.1713431,DAYA BASTI,DBSI,DLI,DELHI,D
28.7031438,77.1772288,DELHI AZADPUR,DAZ,DLI,DELHI,D
28.6643543,77.2007895,DELHI KISHANGANJ,DKZ,DLI,DELHI,D
28.6588164,77.2169874,DELHI SADAR BAZAR,DSB,DLI,DELHI,D
28.7040592,77.1024902,MANGOLPURI,MGLP,DLI,DELHI,D
28.846462,77.08557,NARELA,NUR,DLI,DELHI,D
28.5595207,77.2656048,OKHLA,OKA,DLI,DELHI,D
28.5852333,77.0928294,PALAM,PM,DLI,DELHI,D
28.6602276,77.156752,PATEL NAGAR,PTNR,DLI,DELHI,D
28.6338505,77.2261301,SHIVAJI BRIDGE,CSB,DLI,DELHI,D
28.6282763,77.2374857,TILAK BRIDGE,TKJ,DLI,DELHI,D
28.5032308,77.2980533,TUGHOAKABAD,TKD,DLI,DELHI,D
28.6733034,77.3182803,VIVEK VIHAR,VVB,DLI,DELHI,D
15.2642982,74.1083965,SANVERDEM CURCHOREM,SVM,UBL,GOA,D
21.7033938,72.9996791,ADIPUR,AI,AHMEDABAD,GUJARAT,D
20.811782,72.9559595,AMALSAD,AML,MUMBAI CENTRAL,GUJARAT,D
23.1192878,70.0362648,ANJAR,AJE,AHMEDABAD,GUJARAT,D
22.2830606,70.7993102,BHAKTINAGAR,BKNG,RAJKOT,GUJARAT,D
21.9287746,69.7896215,BHANVAD,BNVD,BHAVNAGAR,GUJARAT,D
21.7706366,72.1184723,BHAVNAGAR PARA,BVP,BHAVNAGAR,GUJARAT,D
20.2759569,72.8870414,BHILAD,BLD,MUMBAI CENTRAL,GUJARAT,D
21.157409,72.9561979,CHALTHAN,CHM,MUMBAI CENTRAL,GUJARAT,D
23.024416,72.664566,DEROL,DRL,VADODARA,GUJARAT,D
22.32896,73.261932,DHANDHUKA,DCK,BHAVNAGAR,GUJARAT,D
21.8231076,71.7387078,DHOLA JN.,DLJ,BHAVNAGAR,GUJARAT,D
23.044991,72.640016,DHRANGANDHRA,DHG,AHMEDABAD,GUJARAT,D
23.0266357,72.5688678,GANDHIGRAM,GG,BHAVNAGAR,GUJARAT,D
