Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
18.0120969,83.2712557,ALAMANDA,ALM,WAT,ANDHRA PRADESH,E
22.3014756,70.8045659,BARUVA,BAV,KUR,ANDHRA PRADESH,E
15.9128998,79.7399875,BODDAVARA,BDVR,WAT,ANDHRA PRADESH,E
18.262263,83.0766966,CHIMIDIPALLI,CMDP,WAT,ANDHRA PRADESH,E
17.7183672,83.3228225,DONKINAVALASA,DNV,WAT,ANDHRA PRADESH,E
18.3704552,83.8580709,DUSI,DSI,WAT,ANDHRA PRADESH,E
18.2843226,83.3364141,GAJAPATINAGARAM,GPI,WAT,ANDHRA PRADESH,E
12.9492303,78.2526341,GARIVIDI,GVI,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,GARUDABILLI,GRBL,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,GORAPUR,GPJ,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,GOTLAM,GTLM,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,GUMADA,GMDA,WAT,ANDHRA PRADESH,E
19.028053,84.612859,JHADUPUDI,JPI,KUR,ANDHRA PRADESH,E
15.9128998,79.7399875,JIMIDIPETA,JMPT,WAT,ANDHRA PRADESH,E
13.228057,79.262893,KANTAKAPALLI,KPL,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,KARAKAVALASA,KVLS,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,KOMATIPALLI,KMX,WAT,ANDHRA PRADESH,E
18.0535661,83.3193971,KORUKONDA,KUK,WAT,ANDHRA PRADESH,E
18.9666377,83.4406847,KUNERU,KNRT,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,MALLIVUDU,MVW,WAT,ANDHRA PRADESH,E
18.8403548,84.4939905,MANDASA ROAD,MMS,KUR,ANDHRA PRADESH,E
18.1882433,83.4592021,NELLIMARLA,NML,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,PADUA,PFU,WAT,ANDHRA PRADESH,E
17.8135527,83.1948795,PENDURTI,PDT,WAT,ANDHRA PRADESH,E
14.8301055,79.6850395,PUNDI,PUN,WAT,ANDHRA PRADESH,E
17.6922719,83.0044995,SETANAGARAM,SNM,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,SHIVALINGAMPURAM,SLPM,WAT,ANDHRA PRADESH,E
18.360291,83.681375,SIGADAM,SGDM,WAT,ANDHRA PRADESH,E
15.9128998,79.7399875,SIMILIGUDA,SMLG,WAT,ANDHRA PRADESH,E
19.1260762,84.6001548,SRUNGAVARAPUKOTA,SUP,WAT,ANDHRA PRADESH,E
18.8088561,84.4670722,SUMMADEVI,SUDV,KUR,ANDHRA PRADESH,E
