Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
17.7222014,83.2892612,VISAKHAPATNAM,VSKP,WAT,ANDHRA PRADESH,A1
17.3924217,78.4689988,HYDERABAD                                         ,HYB ,SC        ,ANDHRA PRADESH,A1
17.3906471,78.5009093,KACHEGUDA,KCG,HYB       ,ANDHRA PRADESH,A1
17.433709,78.5016144,SECUNDERABAD JN                                   ,SC  ,SC        ,ANDHRA PRADESH,A1
13.628347,79.4199775,TIRUPATI,TPTY,GTL   ,ANDHRA PRADESH,A1
16.5186249,80.6198977,VIJAYAWADA                                 ,BZA ,BZA       ,ANDHRA PRADESH,A1
26.1825487,91.7497434,GUWAHATI,GHY,LMG,ASSAM,A1
26.1547701,85.9072476,DARBHANGA JN.,DBG,SPJ,BIHAR,A1
24.8032413,84.9997072,GAYA JN.,GYA,MGS,BIHAR,A1
26.1218988,85.3791128,MUZAFFARPUR JN.,MFP,SEE,BIHAR,A1
25.6033028,85.137137,PATNA JN.,PNBE,DNR,BIHAR,A1
25.24003,86.984511,BHAGALPUR ,BGP,MLDT,BIHAR,A1
25.7875072,84.7249934,CHHAPRA JN.,CPR,VARANASI,BIHAR,A1
30.7022191,76.8224701,CHANDIGARH,CDG,UMB,CHANDIGARH,A1
22.0561061,82.1718547,BILASPUR JN,BSP,BSP,CHHATTISGARH,A1
21.2513844,81.6296413,RAIPUR,R,R,CHHATTISGARH,A1
28.6489284,77.3151845,ANAND VIHAR TERMINAL,ANVT,DLI,DELHI,A1
28.6609677,77.2276704,DELHI JN.,DLI,DLI,DELHI,A1
28.5889188,77.2534726,H. NIZAMUDDIN,HNZM,DLI,DELHI,A1
28.6415494,77.2208123,NEW DELHI,NDLS,DLI,DELHI,A1
23.0331815,72.509905,AHMEDABAD,ADI,AHMEDABAD,GUJARAT,A1
22.3117482,70.8027354,RAJKOT,RJT,RAJKOT,GUJARAT,A1
18.9525037,72.8403696,SURAT,ST,MUMBAI CENTRAL,GUJARAT,A1
22.3107749,73.18093,VADODARA,BRC,VADODARA,GUJARAT,A1
30.3377219,76.828023,AMBALA CANTT. JN.,UMB,UMB,HARYANA,A1
32.7055231,74.8806613,JAMMU TAWI,JAT,FZR,JAMMU & KASHMIR,A1
23.7910294,86.4299391,DHANBAD,DHN,DHN,JHARKHAND,A1
22.7759082,86.1892688,TATANAGAR,TATA,CKP,JHARKHAND,A1
12.9781289,77.5695678,BANGALORE CITY,SBC ,SBC,KARNATAKA,A1
13.0237563,77.5507379,YESVANTPUR,YPR ,SBC,KARNATAKA,A1
9.9690556,76.2910113,ERNAKULAM JN                       ,ERS  ,TVC,KERALA,A1
11.2466631,75.7810735,KOZHIKKODE                         ,CLT  ,PGT,KERALA,A1
10.5140767,76.2076478,THRISUR                            ,TCR  ,TVC,KERALA,A1
8.4869572,76.9526774,TIRUVANANTHAPURAM CENTRAL          ,TVC  ,TVC,KERALA,A1
26.2159557,78.181915,GWALIOR,GWL,JHS,MADHYA PRADESH,A1
23.2554093,77.4525961,BHOPAL,BPL,BPL,MADHYA PRADESH,A1
23.1651957,79.950747,JABALPUR,JBP,JBP,MADHYA PRADESH,A1
18.9398208,72.8354676,CST MUMBAI,CSTM,BB,MAHARASHTRA,A1
19.0150316,72.8453596,DADAR,DR,BB,MAHARASHTRA,A1
19.2354082,73.131024,KALYAN,KYN,BB,MAHARASHTRA,A1
19.069143,72.8922731,LOKMANYA TILAK (T),LTT,BB,MAHARASHTRA,A1
21.152187,79.0887588,NAGPUR,NGP,NGP,MAHARASHTRA,A1
18.5224151,73.8410717,PUNE,PA,PA,MAHARASHTRA,A1
17.6644233,75.8929702,SOLAPUR,SUR,SUR,MAHARASHTRA,A1
19.1860408,72.9758837,THANE,TNA,BB,MAHARASHTRA,A1
19.0625241,72.8413066,BANDRA TERMINUS,BDTS,MUMBAI CENTRAL,MAHARASHTRA,A1
18.9707714,72.8194532,MUMBAI CENTRAL MAIN,BCT,MUMBAI CENTRAL,MAHARASHTRA,A1
20.266601,85.8436154,BHUBANESWAR,BBS,KUR,ODISHA,A1
19.8133822,85.8314655,PURI,PURI,KUR,ODISHA,A1
31.6330859,74.867131,AMRITSAR,ASR,FZR,PUNJAB,A1
30.9121269,75.8482248,LUDHIANA,LDH,FZR,PUNJAB,A1
26.4570946,74.6371962,AJMER,AII,AJMER,RAJASTHAN,A1
26.919152,75.7888893,JAIPUR,JP,JAIPUR,RAJASTHAN,A1
26.312797,73.092945,JODHPUR CANTT,JUCT,JODHPUR,RAJASTHAN,A1
13.0821888,80.2755083,CHENNAI CENTRAL                    ,MAS  ,MAS,TAMIL NADU,A1
13.0778746,80.2616195,CHENNAI EGMORE                     ,MS   ,MAS,TAMIL NADU,A1
10.9959149,76.9677409,COIMBATORE JN                      ,CBE  ,SA,TAMIL NADU,A1
9.9203545,78.1102932,MADURAI JN                         ,MDU  ,MDU,TAMIL NADU,A1
25.2784626,83.1199829,MUGHALSARAI JN.,MGS,MGS,UTTAR PRADESH,A1
27.1578152,77.9899244,AGRA CANTT,AGC  ,AGC,UTTAR PRADESH,A1
25.4456773,81.8302488,ALLAHABAD,ALD,ALD,UTTAR PRADESH,A1
25.443172,78.5575046,JHANSI,JHS,JHS,UTTAR PRADESH,A1
26.453855,80.3511946,KANPUR CENTRAL,CNB,ALD,UTTAR PRADESH,A1
27.4794821,77.673651,MATHURA JN,MTJ       ,AGC,UTTAR PRADESH,A1
26.7595215,83.3817547,GORAKHPUR JN.,GKP,LUCKNOW,UTTAR PRADESH,A1
26.8316998,80.9191505,LUCKNOW JN.,LJN,LUCKNOW,UTTAR PRADESH,A1
28.3371343,79.4108244,BAREILLY,BE,MB,UTTAR PRADESH,A1
26.8466937,80.946166,LUCKNOW,LKO,LKO,UTTAR PRADESH,A1
25.32742,82.9860535,VARANASI,BSB,LKO,UTTAR PRADESH,A1
30.3134362,78.0335611,DEHRADUN,DDN,MB,UTTARAKHAND,A1
29.9482998,78.1555524,HARIDWAR,HW,MB,UTTARAKHAND,A1
22.5834126,88.3429024,HOWRAH ,HWH,HWH,WEST BENGAL,A1
22.5673321,88.3708625,SEALDAH  ,SDAH,SDAH,WEST BENGAL,A1
26.6842567,88.4428015,NEW JALPAIGURI,NJP,KIR,WEST BENGAL,A1
22.3149274,87.3105311,KHARAGPUR,KGP,KGP,WEST BENGAL,A1
