Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
17.418,78.52,ARTS COLLEGE,ATC,HYB,ANDHRA PRADESH,C
15.8324664,78.0324683,BHARATH NAGAR,BTNR,SC,ANDHRA PRADESH,C
13.6263669,79.4318916,BORABANDA,BRBD,SC,ANDHRA PRADESH,C
17.4873673,78.3326796,CHANDA NAGAR,CDNR,SC,ANDHRA PRADESH,C
15.9128998,79.7399875,DABIRPURA,DQR,HYB,ANDHRA PRADESH,C
17.3325046,78.4743064,FALAKNUMA,FM,HYB,ANDHRA PRADESH,C
15.9128998,79.7399875,FATHENAGAR BRIDGE,FNB,SC,ANDHRA PRADESH,C
16.522659,80.616488,HAFIZPETA,HFZ,SC,ANDHRA PRADESH,C
24.580883,73.691973,HI-TECH CITY,HTCY,SC,ANDHRA PRADESH,C
17.601728,83.155827,HUPPUGUDA,HPQ,HYB,ANDHRA PRADESH,C
14.6800227,77.6020247,JAMAI OSMANIA,JOO,HYB,ANDHRA PRADESH,C
17.434324,78.4912358,JAMES STREET,JET,SC,ANDHRA PRADESH,C
17.4132983,78.4610872,KHAIRATABAD,KQD,SC,ANDHRA PRADESH,C
17.406211,78.463156,LAKDIKAPUL,LKPL,SC,ANDHRA PRADESH,C
15.9128998,79.7399875,MALAKPET,MXT,HYB,ANDHRA PRADESH,C
17.4457131,78.4522574,NATURE CURE HOSPITAL,NCHS,SC,ANDHRA PRADESH,C
17.4237284,78.4629876,NECKLACE ROAD,NLRD,SC,ANDHRA PRADESH,C
13.628347,79.4199775,SANJEEVAIAH PARK,SJVP,SC,ANDHRA PRADESH,C
17.4280637,78.5196535,SITAPHALMANDI,STPD,HYB,ANDHRA PRADESH,C
16.5186249,80.6198977,VIDYA NAGAR,VAR,HYB,ANDHRA PRADESH,C
17.0209637,81.5356772,YAKUTPURA,YKA,HYB,ANDHRA PRADESH,C
19.1721108,72.9521756,AIROLI,AIRL,BB,MAHARASHTRA,C
18.6485756,73.7647023,AKURDI,AKRD,PA,MAHARASHTRA,C
19.21012,73.1844207,AMBERNATH,ABH,BB,MAHARASHTRA,C
19.2678179,73.1717161,AMBIVLI,ABY,BB,MAHARASHTRA,C
19.4395451,73.3079077,ASANGAON,ASO,BB,MAHARASHTRA,C
19.5036308,73.3282211,ATGAON,ATG,BB,MAHARASHTRA,C
19.1670644,73.239077,BADLAPUR,BUD,BB,MAHARASHTRA,C
18.7214453,73.6961673,BEGDEWADI,BGWI,PA,MAHARASHTRA,C
19.0252299,73.0413955,BELAPUR,BEPR,BB,MAHARASHTRA,C
19.1423572,72.9377517,BHANDUP,BND,BB,MAHARASHTRA,C
18.9700103,73.3315382,BHIVPURI ROAD,BVS,BB,MAHARASHTRA,C
18.9766017,72.8326658,BYCULLA,BY,BB,MAHARASHTRA,C
19.9918659,73.7988249,CHEMBUR,CMBR,BB,MAHARASHTRA,C
18.9868574,72.8327964,CHINCHPOKLI,CHG,BB,MAHARASHTRA,C
18.6398719,73.7918217,CHINCHWAD,CCH,PA,MAHARASHTRA,C
19.0805665,72.8476904,CHUNNABHATTI,CHF,BB,MAHARASHTRA,C
18.9864926,72.8432859,COTTON GREEN,CTGN,BB,MAHARASHTRA,C
18.9940922,72.8328531,CURREY ROAD,CRD,BB,MAHARASHTRA,C
18.5815476,73.8326123,DAPODI,DAPD,PA,MAHARASHTRA,C
18.6804696,73.7342706,DEHU ROAD,DEHR,PA,MAHARASHTRA,C
19.2039788,73.8748323,DIWA,DW,BB,MAHARASHTRA,C
18.9663811,72.844209,DOCK YARD RD,DKRD,BB,MAHARASHTRA,C
19.0134317,72.8357694,DOLAVLI,DLV,BB,MAHARASHTRA,C
19.218328,73.0868268,DOMBIVLI,DI,BB,MAHARASHTRA,C
19.1164717,73.0068583,GHANSOLI,GNSL,BB,MAHARASHTRA,C
19.0856491,72.9082207,GHATKOPAR,GC,BB,MAHARASHTRA,C
18.7214453,73.6961673,GHORAWADI,GRWD,PA,MAHARASHTRA,C
19.041528,72.864732,GOVANDI,GV,BB,MAHARASHTRA,C
19.037969,72.8654718,GURU TEG BAHADUR NAGAR,GTBN,BB,MAHARASHTRA,C
19.050759,72.917265,JUINAGAR,JNJ,BB,MAHARASHTRA,C
19.1953173,72.9967104,KALVA,KLVA,BB,MAHARASHTRA,C
18.7668242,73.5523029,KAMSHET,KMST,PA,MAHARASHTRA,C
17.7195516,73.3968136,KANJURMARG,KJRD,BB,MAHARASHTRA,C
