Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
15.9128998,79.7399875,BANSADHARA,BSDR,WAT,ANDHRA PRADESH,F
18.343476,83.624215,BATUVA PH,BTVA,WAT,ANDHRA PRADESH,F
18.75644,84.422423,DANDUGOPALAPURAM,DGB,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,GANGUWADA,GVA,WAT,ANDHRA PRADESH,F
18.579191,84.283289,HADOBHANGI,HBF,WAT,ANDHRA PRADESH,F
18.75644,84.422423,HARISHCHANDRAPURAM PH,HCM  ,WAT,ANDHRA PRADESH,F
17.3761329,82.3711062,KASHINAGAR,KNGR,WAT,ANDHRA PRADESH,F
18.9135159,83.8493805,LIHURI,LRI,WAT,ANDHRA PRADESH,F
17.736482,83.252582,MARRIPALEM PH,MIPM,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,NARAYANAPPAVALASA,NGJA ,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,NARSIPURAM HALT,NSX ,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,PALASINGI,PLSG,WAT,ANDHRA PRADESH,F
15.826448,78.034571,PARANNAVALASA,PRVA,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,PATHAPATNAM,PHM,WAT,ANDHRA PRADESH,F
15.9128998,79.7399875,PEDDASANA,PDSN,WAT,ANDHRA PRADESH,F
17.4874228,78.3324444,ROMPALLI,RML,WAT,ANDHRA PRADESH,F
18.6205037,84.3352926,ROUTHUPURAM PH,RMZ ,WAT,ANDHRA PRADESH,F
18.525363,83.201174,SALUR,SALR ,WAT,ANDHRA PRADESH,F
14.6905066,77.5948021,SITAPURAM,SPRM,WAT,ANDHRA PRADESH,F
18.6044438,84.2342162,TEKKALI,TEK,WAT,ANDHRA PRADESH,F
14.4463227,79.9821555,TEMBURU,TMB,WAT,ANDHRA PRADESH,F
22.283149,70.799374,AJJAKOLLU,AJA,HYB       ,ANDHRA PRADESH,F
14.2638508,80.1128794,AKKURTI                                           ,AKY ,GTL,ANDHRA PRADESH,F
27.5612805,76.6216858,ALWAL                                        ,ALW ,HYB       ,ANDHRA PRADESH,F
14.9314085,77.9929458,AMMUGUDA                                       ,AMQ ,HYB       ,ANDHRA PRADESH,F
16.245395,80.609359,ANGALAKUDURU ,AKU ,GNT       ,ANDHRA PRADESH,F
15.9128998,79.7399875,AREPALLI                                       ,ARPL,HYB       ,ANDHRA PRADESH,F
16.9663873,82.000646,BALABHADRAPURAM,BBPM,BZA       ,ANDHRA PRADESH,F
13.3188485,79.5791404,BATTHULAPURAM                                      ,BTM ,GTL,ANDHRA PRADESH,F
16.518472,80.627495,BOLARAM BAZAR                                     ,BOZ ,HYB       ,ANDHRA PRADESH,F
16.5163627,80.6692822,BOMMASAMUNDRAM                                    ,BUM ,GTL,ANDHRA PRADESH,F
15.9128998,79.7399875,BRAHMAN PALLI                                 ,BMPL,HYB       ,ANDHRA PRADESH,F
16.934657,81.675094,BRAHMANAGUDEM ,BMGM,BZA       ,ANDHRA PRADESH,F
15.9128998,79.7399875,BURUGULA                                       ,BRGL,HYB       ,ANDHRA PRADESH,F
16.5898889,81.4212361,CHERUKU VADA                                   ,CKV ,BZA       ,ANDHRA PRADESH,F
16.3802551,80.6171787,CHILUVUR ,CLVR,BZA       ,ANDHRA PRADESH,F
15.9128998,79.7399875,CHINTA PARRU                                   ,CTPR,BZA       ,ANDHRA PRADESH,F
15.8254557,78.0517104,CHITTA,CHTT,SC        ,ANDHRA PRADESH,F
13.8192604,77.4983311,DABILPUR                                      ,DBV ,HYB       ,ANDHRA PRADESH,F
22.3038945,70.8021599,DAYANAND NAGAR,DYE,HYB       ,ANDHRA PRADESH,F
16.519657,80.625754,DIVTIPALLI                                     ,DTP ,HYB       ,ANDHRA PRADESH,F
15.9128998,79.7399875,DOKUR,DKUR,HYB       ,ANDHRA PRADESH,F
17.2126605,82.3492295,DURGADA GATE,DGDG,BZA       ,ANDHRA PRADESH,F
15.9128998,79.7399875,FAKRABAD                                      ,FKB ,HYB       ,ANDHRA PRADESH,F
15.9128998,79.7399875,GANDHI PARK BODHAN,GPBN,HYB       ,ANDHRA PRADESH,F
15.1755264,77.3667171,GANDHIPURAM ,GHPU,SC        ,ANDHRA PRADESH,F
15.9128998,79.7399875,GATE KAREPALLI,GKRA,SC        ,ANDHRA PRADESH,F
15.9128998,79.7399875,GOWDAVALLI                                    ,GWV ,HYB       ,ANDHRA PRADESH,F
17.0277261,82.130845,GUDAPARTI                                      ,GDPT,BZA       ,ANDHRA PRADESH,F
15.4247987,79.0113598,GUDIMETTA,GMA,GNT       ,ANDHRA PRADESH,F
13.652889,79.15786,GUDIPUDI,GDPE,GNT       ,ANDHRA PRADESH,F
17.4,78.48,GUNTAKODURU,GUA,BZA       ,ANDHRA PRADESH,F
16.5484938,79.6395962,GURAJALA HALT,GZA,GNT       ,ANDHRA PRADESH,F
15.9128998,79.7399875,HANUMA PURA,HPH,GTL,ANDHRA PRADESH,F
15.153103,77.3741752,HANUMAN CIRCLE,HNMN,GTL,ANDHRA PRADESH,F
